gene_id,ERR3333392,ERR3333393,ERR3333413,ERR3333414,ERR3333415,ERR3333416,ERR3333417,ERR3333418,ERR3333419,ERR3333420,ERR3333422,ERR3333423,ERR3333424,ERR3333425,logMaxTPM
AT1G20090,27.251,28.9442,31.1971,26.505,31.2785,31.6466,34.8035,40.7461,46.4249,77.4376,55.4804,51.5311,55.2754,58.692,1.8945242968429872
AT1G20100,55.2314,54.9539,97.76173,92.2374,100.115584,98.3492,83.657,72.7334,89.8208,80.6812,114.811,102.776,113.684,81.2846,2.063749811657541
AT1G20110,51.9838,57.2364,50.629,53.5112,46.0682,50.2151,43.4196,39.0979,40.3751,35.7287,46.4698,39.4443,39.1884,37.7793,1.7651945203493133
AT1G20120,0.753431,0.801719,2.86788,3.37324,2.52252,1.80739,1.15295,0.78272,0.372771,0.533719,0.947997,0.832745,0.601227,0.522488,0.6408033117412795
AT1G20130,0.0,0.106985,0.0262966,0.0,0.0,0.0,0.105678,0.036897,0.12425,0.0978074,0.0808632,0.101784,0.0,0.0253693,0.0508628962399795
AT1G20132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G20135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G20140,5.63956,6.71156,6.66888,7.50616,6.17804,5.33436,5.18679,5.46969,5.36804,5.52187,5.33163,5.77618,5.92824,9.2747,1.0117691502321333
AT1G20150,0.0,0.0791615,0.0,0.0,0.0,0.0,0.0,0.0134744,0.0,0.0178511,0.0,0.0,0.0,0.0,0.03308644311695589
AT1G20160,11.026636,19.9211,1.168361,5.709412,10.88612,13.971117,11.4344111016,11.0710740977,3.59608900681871,1.943649,4.386365,7.355091,7.27147,12.615634,1.3205845153468079
AT1G20180,0.0,0.0,0.0,0.0,0.0439917,0.0479241,0.0,0.0,0.0,0.0440436,0.0,0.0,0.0,0.0,0.020329828310987442
AT1G20190,16.7073,18.31491,1.1066236,1.683037,13.74004,17.79468,36.9699,54.1971,41.8895,73.3029,52.7235,23.9099,18.50155,1.47269,1.8710057643584126
AT1G20200,31.7903,37.8265,38.966,54.6761,41.7608,48.0429,43.9656,39.3847,34.1149,35.9517,49.5932,52.6275,51.1282,47.8224,1.7456688062038008
AT1G20220,16.11,16.5956,22.1838,21.3154,21.4973,20.8436,20.2957,19.9176,27.4432,28.5894,33.2648,40.2093,45.7634,46.4156,1.675921250519862
AT1G20225,65.3007,64.0438,79.1575,78.8061,69.1802,69.3894,56.0942,49.9183,40.3106,39.4757,46.4033,38.6567,43.3484,40.2017,1.9039441636986212
AT1G20230,0.389461,0.606496,1.05047,1.05931,1.53506,1.15403,0.800194,0.863567,0.559572,0.891642,1.48336,1.12123,1.4682,2.55191,0.5504619528839949
AT1G20240,0.0,0.0,0.0,0.0,0.0,0.0284001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012162110200933936
AT1G20260,122.157,138.961,142.897,147.217,155.583,167.21,156.597,129.281,136.435,156.346,170.546,133.813,141.364,128.706,2.2343805959090637
AT1G20270,11.20197,12.18211,14.95641,12.64597,14.18222,13.92571,11.20207,11.57339,9.49765,12.32443,12.06871,11.42994,12.06484,14.64998,1.202935186979111
AT1G20280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G20290,0.0,0.0,0.0,0.225926,0.0408849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08846425585808908
AT1G20300,6.11175,3.90498,10.2589,10.7125,10.1532,8.83172,7.35059,9.43338,6.73146,7.53789,10.285,10.62,10.3033,9.46845,1.0686496038958346
AT1G20310,12.9708,2.55082,2.72019,4.46085,4.07524,2.27779,2.61639,1.93767,0.856805,1.24845,9.75766,2.17572,2.49294,1.97663,1.1452212755227613
AT1G20320,0.278383,0.0,0.0,0.125723,0.151736,0.0,0.0409637,0.0,0.0,0.0,0.292897,0.0394418,0.0,0.0,0.11156392773158284
